photo_id,species,marked,inat_url,month,ID,InBurnArea,burnseverity,longitude,latitude,Deciduous,Notes
48713419,Apocynum androsaemifolium,0,https://www.inaturalist.org/photos/48713419,8,186,1,2,-105.46,40.68,0,Shrub
75276852,NA,0,https://www.inaturalist.org/photos/75276852,5,187,0,NA,-105.5,40.69,0,Shrub
326110131,Ribes aureum,0,https://www.inaturalist.org/photos/326110131,10,188,NA,1,-105.18,40.59,0,Shrub
68129559,Pinus ponderosa,0,https://www.inaturalist.org/photos/68129559,4,189,NA,NA,-105.54,40.75,0,Shrub
71069869,Prunus americana,0,https://www.inaturalist.org/photos/71069869,5,190,0,1,-105.29,40.7,1,Likely tree
225576581,Malus domestica,0,https://www.inaturalist.org/photos/225576581,8,191,NA,1,-105.18,40.58,1,
40045155,Prunus americana,0,https://www.inaturalist.org/photos/40045155,5,192,0,1,-105.24,40.7,1,
425180402,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/425180402,6,193,0,1,-105.24,40.7,0,Likely shrub
307235503,Silene latifolia,0,https://www.inaturalist.org/photos/307235503,7,194,1,1,-105.34,40.69,0,
237448286,Betula occidentalis,0,https://www.inaturalist.org/photos/237448286,10,195,1,1,-105.19,40.58,1,
19057782,Prunus virginiana,0,https://www.inaturalist.org/photos/19057782,5,196,1,1,-105.31,40.69,1,
18910781,Prunus virginiana,0,https://www.inaturalist.org/photos/18910781,5,197,1,1,-105.31,40.69,1,
28211058,Nepeta cataria,0,https://www.inaturalist.org/photos/28211058,9,198,1,2,-105.39,40.68,0,
384179229,Vitis riparia,0,https://www.inaturalist.org/photos/384179229,5,199,0,1,-105.24,40.7,0,Shrub
44244040,Prunus virginiana,0,https://www.inaturalist.org/photos/44244040,7,200,1,2,-105.46,40.68,1,
